user_id,date,steps,calories_burned,distance_km,active_minutes,sleep_hours,heart_rate_avg,workout_type,weather_conditions,location,mood
1,02-01-2023,21559,3045.06,0.32,841,11.5,126,Cycling,Rain,Park,Stressed
1,03-01-2023,1762,3606.03,9.77,567,5.4,76,Cycling,Clear,Gym,Neutral
1,05-01-2023,21471,2593.82,5.05,1297,8.2,175,Walking,Clear,Park,Happy
1,06-01-2023,4195,3364.94,6.76,932,3.1,122,Swimming,Rain,Office,Tired
1,08-01-2023,29530,1988.14,17.9,694,10.0,60,Cycling,Clear,Office,Neutral
1,08-01-2023,18617,2792.98,7.56,1123,6.9,61,Running,Snow,Home,Neutral
1,09-01-2023,8921,2361.44,11.98,32,6.0,174,Swimming,Rain,Other,Stressed
1,09-01-2023,10143,3906.6,16.91,581,5.3,131,Gym Workout,Snow,Park,Happy
1,09-01-2023,10122,2622.55,14.67,402,9.0,95,Gym Workout,Clear,Park,Tired
1,09-01-2023,10587,2503.75,13.07,1206,8.4,170,Swimming,Clear,Other,Happy
1,10-01-2023,24103,3859.28,18.32,505,4.1,76,Gym Workout,Fog,Office,Neutral
1,11-01-2023,8123,3679.12,6.16,1122,6.9,133,Running,Snow,Park,Neutral
1,12-01-2023,11104,2434.43,6.04,1106,10.4,142,Yoga,Fog,Park,Neutral
1,13-01-2023,376,3371.77,10.45,1087,11.5,123,Gym Workout,Fog,Park,Neutral
1,14-01-2023,26317,1602.87,9.33,232,11.2,170,None,Rain,Home,Tired
1,15-01-2023,16104,2485.28,9.28,138,1.5,152,Cycling,Rain,Other,Neutral
1,16-01-2023,28209,2703.6,15.79,1344,4.6,103,Yoga,Fog,Park,Happy
1,16-01-2023,14097,2106.15,11.7,816,5.6,171,Running,Clear,Park,Tired
1,16-01-2023,9305,2633.17,10.06,1141,9.5,134,Running,Clear,Other,Tired
1,19-01-2023,9247,2248.47,9.82,648,5.6,127,Swimming,Clear,Park,Tired
1,19-01-2023,11690,1973.17,10.1,1189,8.6,119,Swimming,Snow,Office,Neutral
1,20-01-2023,17787,3106.41,7.43,286,4.7,159,Running,Rain,Gym,Stressed
1,20-01-2023,25318,3785.53,6.84,921,0.2,121,Walking,Clear,Other,Stressed
1,20-01-2023,17979,1816.34,17.51,241,8.2,76,Gym Workout,Rain,Other,Happy
1,22-01-2023,345,3939.44,5.95,682,1.3,148,Yoga,Fog,Other,Happy
1,25-01-2023,26014,2392.63,12.35,737,2.0,103,Gym Workout,Fog,Gym,Neutral
1,26-01-2023,9391,3629.31,3.59,1439,2.8,167,Gym Workout,Rain,Gym,Stressed
1,28-01-2023,14922,2792.64,4.73,667,3.7,93,Running,Fog,Office,Stressed
1,28-01-2023,16992,2838.31,16.1,1242,10.9,153,Running,Clear,Gym,Happy
1,29-01-2023,5810,2049.39,0.55,1296,1.0,159,Swimming,Snow,Gym,Tired
1,29-01-2023,5935,2188.16,10.06,388,6.1,73,Yoga,Clear,Office,Happy
1,29-01-2023,789,1873.69,11.87,1115,11.3,161,Walking,Clear,Other,Happy
1,30-01-2023,25847,3341.01,9.44,1190,11.8,65,Cycling,Fog,Office,Happy
1,01-02-2023,8997,2666.76,9.49,545,4.2,166,Cycling,Fog,Park,Stressed
1,03-02-2023,15758,1747.92,6.11,1422,2.4,127,Gym Workout,Rain,Other,Neutral
1,06-02-2023,22510,3714.4,10.28,904,11.7,130,Gym Workout,Rain,Home,Stressed
1,08-02-2023,16511,2078.84,9.13,731,11.3,76,Walking,Snow,Park,Stressed
